;CLSTR849;CLSTR1880;CLSTR170;CLSTR1336;CLSTR1232;CLSTR392;CLSTR2062;CLSTR58;CLSTR604;CLSTR350;CLSTR491;CLSTR110;CLSTR782;CLSTR1585;CLSTR1090;CLSTR1213;CLSTR1004;CLSTR235;CLSTR1415;CLSTR1367;CLSTR1408;CLSTR547;CLSTR838;CLSTR1865;CLSTR2033;CLSTR204;CLSTR731;CLSTR1003;CLSTR931;CLSTR1468;CLSTR566;CLSTR423;CLSTR1757;CLSTR1429;CLSTR248;CLSTR788;CLSTR2024;CLSTR2032;CLSTR993;CLSTR614;CLSTR1560;CLSTR73;CLSTR1409;CLSTR442;CLSTR1331;CLSTR197;CLSTR1430;CLSTR1172;CLSTR2031;CLSTR586;CLSTR115;CLSTR1373;CLSTR1762;CLSTR1241;CLSTR549;CLSTR2046;CLSTR158;CLSTR676;CLSTR84;CLSTR1807;CLSTR2010;CLSTR51;CLSTR1885;CLSTR175;CLSTR88;CLSTR417;CLSTR544;CLSTR1775;CLSTR600;CLSTR2134;CLSTR522;CLSTR975;CLSTR471;CLSTR1640;CLSTR1400;CLSTR277;CLSTR735;CLSTR1338;CLSTR2021;CLSTR1031;CLSTR1637;CLSTR113;CLSTR1230;CLSTR1226;CLSTR806;CLSTR1564;CLSTR610;CLSTR352;CLSTR1790;CLSTR165;CLSTR348
CLSTR1585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.424347;0
CLSTR1090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.433751;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.447187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.440339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.656429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1415;0;0;0;0.447932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.526742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.435331;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.68647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.432879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.422597
CLSTR547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.802132;0;0;0;0;0;0;0;0;0;0;0.425022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.68647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
